created_at,Pi1_CO2,Pi1_CH4,Pi1_NH3,Pi2_CO2,Pi2_CH4,Pi2_NH3
2025-11-20 14:47:37+00:00,0,0,0,1997.9,68.58,204.74
2025-11-20 14:48:37+00:00,0,0,0,1991.5,68.31,203.94
2025-11-20 14:49:37+00:00,0,0,0,1985.34,68.06,203.17
2025-11-20 14:50:37+00:00,0,0,0,1972.29,67.51,201.54
2025-11-20 14:51:38+00:00,0,0,0,1977.77,67.74,202.22
2025-11-20 14:52:38+00:00,0,0,0,1969.68,67.4,201.21
2025-11-20 14:53:38+00:00,0,0,0,1964.03,67.17,200.5
2025-11-20 14:54:39+00:00,0,0,0,1956.96,66.87,199.62
2025-11-20 14:55:39+00:00,0,0,0,1959.06,66.96,199.88
2025-11-20 14:56:39+00:00,0,0,0,1969.35,67.39,201.17
2025-11-20 14:57:40+00:00,0,0,0,1963.36,67.14,200.42
2025-11-20 14:58:40+00:00,0,0,0,1956.46,66.85,199.56
2025-11-20 14:59:41+00:00,0,0,0,1951.24,66.64,198.91
2025-11-20 15:00:41+00:00,0,0,0,1944.92,66.37,198.11
2025-11-20 15:01:41+00:00,0,0,0,1941.38,66.22,197.67
2025-11-20 15:02:42+00:00,0,0,0,1938.35,66.1,197.29
2025-11-20 15:03:42+00:00,0,0,0,1935.48,65.98,196.94
2025-11-20 15:04:42+00:00,0,0,0,1930.18,65.76,196.27
2025-11-20 15:05:43+00:00,0,0,0,1971.45,67.48,201.43
2025-11-20 15:06:43+00:00,0,0,0,1955.45,66.81,199.43
2025-11-20 15:07:44+00:00,0,0,0,1952.5,66.69,199.06
2025-11-20 15:08:44+00:00,0,0,0,1941.21,66.22,197.65
2025-11-20 15:09:44+00:00,0,0,0,1927.82,65.66,195.98
2025-11-20 15:10:44+00:00,0,0,0,1923.27,65.47,195.41
2025-11-20 15:11:45+00:00,0,0,0,1918.64,65.28,194.83
2025-11-20 15:12:45+00:00,0,0,0,1912.91,65.04,194.11
2025-11-20 15:13:45+00:00,0,0,0,1911.14,64.96,193.89
2025-11-20 15:14:45+00:00,0,0,0,1911.3,64.97,193.91
2025-11-20 15:15:46+00:00,0,0,0,1910.63,64.94,193.83
2025-11-20 15:16:46+00:00,0,0,0,1907.19,64.8,193.4
2025-11-20 15:17:46+00:00,0,0,0,1903.98,64.67,193.0
2025-11-20 15:18:47+00:00,0,0,0,1901.7,64.57,192.71
2025-11-20 15:19:47+00:00,0,0,0,1904.99,64.71,193.12
2025-11-20 15:20:48+00:00,0,0,0,1902.29,64.6,192.79
2025-11-20 15:21:48+00:00,0,0,0,1893.96,64.25,191.75
2025-11-20 15:22:48+00:00,0,0,0,1913.16,65.05,194.15
2025-11-20 15:23:49+00:00,0,0,0,1898.43,64.43,192.3
2025-11-20 15:24:49+00:00,0,0,0,1884.1,63.84,190.51
2025-11-20 15:25:49+00:00,0,0,0,1867.25,63.14,188.41
2025-11-20 15:26:50+00:00,0,0,0,1908.95,64.87,193.62
2025-11-20 15:27:50+00:00,0,0,0,1917.54,65.23,194.69
2025-11-20 15:28:51+00:00,0,0,0,1930.26,65.76,196.28
2025-11-20 15:29:51+00:00,0,0,0,1928.66,65.69,196.08
2025-11-20 15:30:51+00:00,0,0,0,1931.94,65.83,196.49
2025-11-20 15:31:52+00:00,0,0,0,1932.03,65.83,196.5
2025-11-20 15:32:52+00:00,0,0,0,1935.48,65.98,196.94
2025-11-20 15:33:52+00:00,0,0,0,1942.31,66.26,197.79
2025-11-20 15:34:53+00:00,0,0,0,1957.38,66.89,199.67
2025-11-20 15:35:53+00:00,0,0,0,1954.26,66.76,199.28
2025-11-20 15:36:53+00:00,0,0,0,1947.78,66.49,198.47
2025-11-20 15:37:53+00:00,0,0,0,1937.0,66.04,197.12
2025-11-20 15:38:54+00:00,0,0,0,1942.31,66.26,197.79
2025-11-20 15:39:54+00:00,0,0,0,1938.27,66.09,197.28
2025-11-20 15:40:54+00:00,0,0,0,1943.82,66.33,197.98
2025-11-20 15:41:55+00:00,0,0,0,1943.57,66.32,197.95
2025-11-20 15:42:55+00:00,0,0,0,1941.21,66.22,197.65
2025-11-20 15:43:55+00:00,0,0,0,1945.92,66.41,198.24
2025-11-20 15:44:56+00:00,0,0,0,1944.08,66.34,198.01
2025-11-20 15:45:56+00:00,0,0,0,1948.04,66.5,198.5
2025-11-20 15:46:57+00:00,0,0,0,1948.12,66.5,198.51
2025-11-20 15:47:57+00:00,0,0,0,1947.2,66.47,198.4
2025-11-20 15:48:57+00:00,0,0,0,1949.8,66.58,198.72
2025-11-20 15:49:58+00:00,0,0,0,1954.68,66.78,199.34
2025-11-20 15:50:58+00:00,0,0,0,1953.93,66.75,199.24
2025-11-20 15:51:58+00:00,0,0,0,1953.42,66.73,199.18
2025-11-20 15:52:59+00:00,0,0,0,1947.78,66.49,198.47
2025-11-20 15:53:59+00:00,0,0,0,1951.49,66.65,198.94
2025-11-20 15:54:59+00:00,0,0,0,1959.32,66.97,199.91
2025-11-20 15:56:00+00:00,0,0,0,1949.63,66.57,198.7
2025-11-20 15:57:00+00:00,0,0,0,1951.91,66.66,198.99
2025-11-20 15:58:01+00:00,0,0,0,1948.12,66.5,198.51
2025-11-20 15:59:01+00:00,0,0,0,1951.16,66.63,198.89
2025-11-20 16:00:01+00:00,0,0,0,1943.49,66.31,197.94
2025-11-20 16:01:02+00:00,0,0,0,1945.0,66.38,198.12
2025-11-20 16:02:02+00:00,0,0,0,1952.67,66.69,199.08
2025-11-20 16:03:02+00:00,0,0,0,1946.34,66.43,198.29
2025-11-20 16:04:03+00:00,0,0,0,1953.34,66.72,199.17
2025-11-20 16:05:03+00:00,0,0,0,1958.39,66.93,199.8
2025-11-20 16:06:03+00:00,0,0,0,1951.07,66.63,198.88
2025-11-20 16:07:04+00:00,0,0,0,1952.33,66.68,199.04
2025-11-20 16:08:04+00:00,0,0,0,1946.69,66.45,198.34
2025-11-20 16:09:05+00:00,0,0,0,1938.27,66.09,197.28
2025-11-20 16:10:05+00:00,0,0,0,1937.5,66.06,197.19
2025-11-20 16:11:05+00:00,0,0,0,1934.06,65.92,196.76
2025-11-20 16:12:05+00:00,0,0,0,1941.96,66.25,197.75
2025-11-20 16:13:06+00:00,0,0,0,1935.99,66.0,197.0
2025-11-20 16:14:06+00:00,0,0,0,1928.07,65.67,196.01
